"BOID (1075)","Published","Title (1075)","Authors (636)","URL","Bitsy Jam","Notes"
"43D24C5A","01/03/2017","Night Drive","its5AM","https://heyits5am.itch.io/night-drive","",""
"5D0B4EC3","03/03/2017","Cahrson's Quest","Night Driver","https://night-driver.itch.io/cahrsons-quest","",""
"DCDD7569","07/03/2017","FISH TANK MAKEOVER","cathsplat","https://cathsplat.itch.io/fish-tank-makeover","",""
"65821DA2","10/03/2017","GOTTA GET TO THE BIG SALE!","Night Driver","https://night-driver.itch.io/big-sale-big-sale","",""
"019C2062","11/03/2017","Zooberluft","Fishbonez","https://fishbonez.itch.io/zooberluft","",""
"A6C75E24","14/03/2017","i","Harder You Fools","https://harderyoufools.itch.io/i","",""
"488C187E","15/03/2017","Procrastination Station","Harder You Fools","https://harderyoufools.itch.io/procrastination-station","",""
"71A8F214","17/03/2017","The Library","akaCheezy","https://tomhambly.itch.io/the-library","",""
"7FCF6D96","24/03/2017","Juh","Night Driver","https://night-driver.itch.io/juh","",""
"7698B32E","26/03/2017","Squish and his tea","Clara / quixoticduck","https://quixoticduck.itch.io/squish-and-his-tea","",""
"37CCEE6D","26/03/2017","smol garden","hippietrashcan","https://hippietrashcan.itch.io/smol-garden","",""
"77C2A64A","27/03/2017","Goblin Escape","Becklespinax","https://becklespinax.itch.io/goblin-escape","",""
"59CFBDF2","28/03/2017","The Cat Stones","ACGodliman","https://acgodliman.itch.io/the-cat-stones","",""
"75E04506","29/03/2017","you have to go to work","npckc","https://npckc.itch.io/you-have-to-go-to-work","",""
"D1138A69","30/03/2017","Procrastination","defaced","https://defaced.itch.io/procrastination","",""
"C1DC0328","08/04/2017","FOUR CORNERS","ACGodliman","https://acgodliman.itch.io/four-corners","",""
"077F2807","09/04/2017","Ins and Outs","guinevak","https://guinevak.itch.io/ins-and-outs","",""
"48E66ECF","14/04/2017","A Neat House!","JDM23","https://jdm23.itch.io/a-neat-house","",""
"232793FA","15/04/2017","No More Sleep","imigraal","https://imigraal.itch.io/nomoresleep","",""
"DED097EB","16/04/2017","you can do this","Sean S. LeBlanc","https://seansleblanc.itch.io/you-can-do-this","","music (volume varies based on palette index)"
"1AD1A399","17/04/2017","A cat in the Kowloon Walled City","zzot","https://zzot.itch.io/a-cat-in-the-kowloon-walled-city","",""
"41959873","17/04/2017","SAVE THE WAFFLES","JDM23","https://jdm23.itch.io/save-the-waffles","The Bitsy Breakfast Jam",""
"EE48E40F","19/04/2017","Cereal friend","Josia Roncancio","https://josia-roncancio.itch.io/cereal-friend","The Bitsy Breakfast Jam",""
"3B376B08","20/04/2017","you should eat breakfast","npckc","https://npckc.itch.io/you-should-eat-breakfast","The Bitsy Breakfast Jam",""
"67C66E0E","20/04/2017","bad game","CheeseCake","https://cheesecake.itch.io/bad-game","",""
"32B16ECE","20/04/2017","Art","JDM23","https://jdm23.itch.io/art","",""
"9E0AB1DA","22/04/2017","House","theExtinctGamer","https://theextinctgamer.itch.io/house","",""
"DC053B1A","30/04/2017","let's get breakfast","Sean S. LeBlanc","https://seansleblanc.itch.io/lets-get-breakfast","The Bitsy Breakfast Jam",""
"17797FB9","01/05/2017","seven a.m","gia✦grimoire","https://ricassofiction.itch.io/seven","The Bitsy Breakfast Jam",""
"EABCC4AB","04/05/2017","For Alanna","MrTedders","https://mrtedders.itch.io/for-alanna","",""
"A1349572","16/05/2017","SSH Adventure","Koutsie","https://koutsie.itch.io/ssh-adventure","",""
"A08CAD64","26/05/2017","Tower Maintenance","Foxx The Sleepy","https://foxxthesleepy.itch.io/tower-maintenance","Radio Silence (Bitsy Jam)",""
"8DB7CF07","26/05/2017","White Noise","Becklespinax","https://becklespinax.itch.io/white-noise","Radio Silence (Bitsy Jam)",""
"06064E60","26/05/2017","The Tower at Night","G.P. Lackey","https://mousefountain.itch.io/the-tower-at-night","Radio Silence (Bitsy Jam)",""
"4B3F0E33","27/05/2017","helplessness","llove","https://llove.itch.io/helplessness","Radio Silence (Bitsy Jam)",""
"6A7F75E8","27/05/2017","Quiet Please","Efergan","https://efergan.itch.io/quiet-please","Radio Silence (Bitsy Jam)",""
"5951F457","27/05/2017","Boaty","Clara / quixoticduck","https://quixoticduck.itch.io/boaty","",""
"D81569FF","27/05/2017","key game","Dave2075","https://dave2075.itch.io/keygame","",""
"1F91D349","28/05/2017","Stranded by Silence","Peckan","https://peckan.itch.io/stranded-by-silence","Radio Silence (Bitsy Jam)",""
"E0FB2423","28/05/2017","Just another...","popoishere","https://popoishere.itch.io/just-another","Radio Silence (Bitsy Jam)",""
"6EA03886","28/05/2017","Radio Prankster","Merc Shmiff","https://merc-shmiff.itch.io/radio-prankster","Radio Silence (Bitsy Jam)",""
"6D7E1D98","28/05/2017","Mr.silence","banaanzxcvbnm","https://banaanzxcvbnm.itch.io/mrsilence","Radio Silence (Bitsy Jam)",""
"A418D2AB","28/05/2017","BBC Radio 4","ACGodliman","https://acgodliman.itch.io/bbc-radio-4","Radio Silence (Bitsy Jam)",""
"1E2742E0","28/05/2017","Silence would be Better","cephalopodunk","https://cephalopodunk.itch.io/silence-would-be-better","Radio Silence (Bitsy Jam)","modded to use tracery"
"97812DAC","29/05/2017","Good morning, Radio","Adam Le Doux","https://ledoux.itch.io/good-morning-radio","Radio Silence (Bitsy Jam)",""
"40EFF728","29/05/2017","Bunker","ajkolenc","https://ajkolenc.itch.io/bunker","Radio Silence (Bitsy Jam)",""
"9372ADE8","29/05/2017","Radio Silence","Mary-Margaret","https://mary-margaret.itch.io/radio-silence","Radio Silence (Bitsy Jam)",""
"83381866","30/05/2017","TK Goes for a Walk","Jerry Vishnevsky","https://mailsprower1.itch.io/tk","Radio Silence (Bitsy Jam)","modded font + glitches(?)"
"39F45C87","30/05/2017","Off, Please","erabbit","https://erabbit.itch.io/off-please","Radio Silence (Bitsy Jam)",""
"A22659FE","30/05/2017","I always hated the cold","HeraldineGames","https://heraldinegames.itch.io/i-always-hated-the-cold","Radio Silence (Bitsy Jam)",""
"610930D7","30/05/2017","rain","Sean S. LeBlanc","https://seansleblanc.itch.io/rain","Radio Silence (Bitsy Jam)",""
"CD554313","31/05/2017","RADIOQUEST","Harney-Barrow","https://harney-barrow.itch.io/radioquest","Radio Silence (Bitsy Jam)",""
"A7183583","04/06/2017","Reunited","rarelikeaunicorn","https://rarelikeaunicorn.itch.io/reunited","",""
"4C8AD705","07/06/2017","Pac-Man Reconiliation","AshGary","https://ashgary.itch.io/pac-man-reconciliation","",""
"2B13D8D7","08/06/2017","waitingonhim","HabaekJung","https://habaekjung.itch.io/waitingonhim","",""
"09463227","11/06/2017","We're Just The Dancers!","AshGary","https://ashgary.itch.io/we","",""
"3895271D","12/06/2017","Tomb Raider","ACGodliman","https://acgodliman.itch.io/tomb-raider","","made for the Digging game jam at Brighton University's Sequential/Independent Project MA"
"5D2EB9AB","14/06/2017","The Hole","Jamesheg","https://jamesheg.itch.io/the-hole","",""
"88465670","15/06/2017","Ouroboros","Giada Zavarise","https://bricabrac.itch.io/ouroboros","",""
"9DE4C3BA","17/06/2017","The Power is still on","azuresama","https://azuresama.itch.io/robotfactory","",""
"692ED204","21/06/2017","Pet the Cat","lykakspars","https://lykakspars.itch.io/pet-the-cat","",""
"50013347","21/06/2017","Lawrence Kohlberg's stages of moral development","Kai20","https://kai20.itch.io/kohlberg","","""The Lawrence Kohlberg`s stages of moral development as levels. I made this game for my philosophie class in germany. So I am very sorry but the hole game is i german but there are methaphers"""
"F05CC0C9","23/06/2017","The Choir Unseen","Slugzzz","https://slugzzz.itch.io/the-choir-unseen","Daydream (Bitsy Jam)",""
"4C07F246","23/06/2017","Just A Cat","Rugiku","https://rugiku.itch.io/just-a-cat","",""
"FE53EF82","24/06/2017","sonder","Hangedman","https://hangedman.itch.io/sonder","",""
"57D27F0C","24/06/2017","Frog Bitsy Jam Game","eanbowman","https://eanbowman.itch.io/frog-bitsy-game-jam","Daydream (Bitsy Jam)",""
"9AE1BE03","24/06/2017","Bunny <3 Bear","Ballad of Song","https://ballad-of-song.itch.io/bunny-3-bear","",""
"993917FE","25/06/2017","Bitsymod","Slugzzz","https://slugzzz.itch.io/bitsymod","","Showcase of features added by modding"
"B5A4CF28","26/06/2017","Asteroi000","Vidyasaur","https://vidyasaur.itch.io/asteroi000","",""
"F421E343","26/06/2017","The Perfect Seat","ManofPixels","https://manofpixels.itch.io/the-perfect-seat","",""
"C7588172","26/06/2017","FrogsTrot","Gweebit PROD","https://gweebit-prod.itch.io/frogstrot","",""
"56AFBA5A","26/06/2017","mailfrog","stuey","https://stuey.itch.io/mailfrog","",""
"327075F5","27/06/2017","Road","Liquidus","https://liquidus.itch.io/road","",""
"35C079D5","28/06/2017","I want a pet!","8BitLlama","https://8bitllama.itch.io/i-want-a-pet","",""
"E790A465","28/06/2017","Minotaur","Zeego","https://zeego.itch.io/minotaur","",""
"9484FD34","28/06/2017","A Bit of Reverie","8BitLlama","https://8bitllama.itch.io/a-bit-of-revery","Daydream (Bitsy Jam)",""
"F032C5E0","28/06/2017","who will take care of the cats?","uururernen","https://uururernen.itch.io/who-will-take-care-of-the-cats","Daydream (Bitsy Jam)",""
"D1FB278A","28/06/2017","I Dream of Pixels...","Lucky Pixel","https://music-monster.itch.io/i-dream-of-pixels","Daydream (Bitsy Jam)",""
"6EE40B02","28/06/2017","Dream Screem","secureconnectionboi","https://secureconnectionboi.itch.io/dream-screem","",""
"4F9215A3","29/06/2017","One Dream of MIllions","ererbe","https://ererbe.itch.io/one-dream-of-millions","Daydream (Bitsy Jam)",""
"B0B4A0BC","29/06/2017","The WARRIOR and the BEAR","Znlwomble","https://znlwomble.itch.io/the-warrior-and-the-bear","Daydream (Bitsy Jam)",""
"A402B113","29/06/2017","Thought of the Day","HeyKarakItsAli","https://heykarakitsali.itch.io/thought-of-the-day","Daydream (Bitsy Jam)",""
"16DB257C","29/06/2017","ACatWalk","Liquidus","https://liquidus.itch.io/acatwalk","Daydream (Bitsy Jam)",""
"196A1423","30/06/2017","My Bitter Paranoia","remyripple","https://remyripple.itch.io/my-bitter-paranoia","Daydream (Bitsy Jam)",""
"780D944B","30/06/2017","Charging...","Infinitestrike","https://infinitestrike.itch.io/charging","Daydream (Bitsy Jam)",""
"54E27E17","30/06/2017","Ho'omana'o Mau: My Somber Daydream","Ballad of Song","https://ballad-of-song.itch.io/hoomanao-mau-my-somber-daydream","Daydream (Bitsy Jam)",""
"B6BF188D","01/07/2017","No Regrets","Virento Voshe","https://user-infamous.itch.io/no-regrets","Daydream (Bitsy Jam)",""
"D1EB3BB7","01/07/2017","Up The Stairs...","jamesjpk123","https://jamesjpk123.itch.io/up-the-stairs","Daydream (Bitsy Jam)",""
"317415F3","01/07/2017","Penroses","rarelikeaunicorn","https://rarelikeaunicorn.itch.io/penroses","Daydream (Bitsy Jam)",""
"BF241D61","01/07/2017","My First Nightwalking","Limosky","https://limosky.itch.io/my-first-nightwalking","",""
"27CEBB9D","01/07/2017","Ma Premiére Promenade du Soir ","Limosky","https://limosky.itch.io/ma-premiere-promenade-du-soir","","french language version of My First Nightwalking"
"53B2A153","01/07/2017","Nothing","Radiosoap","https://radiosoap.itch.io/nothing","",""
"561761CF","01/07/2017","Retire With Dignity: A Bitsy Game","LandOfLincoln","https://landoflincoln.itch.io/retire-with-dignity-a-bitsy-game","",""
"2B538C8D","02/07/2017","Welcome to the Lively Street","Lychee Games","https://lycheegames.itch.io/livelystreet","Daydream (Bitsy Jam)",""
"A20B1584","02/07/2017","Modern Dreams","PierrePlrd","https://pierreplrd.itch.io/modern-dreams-","Daydream (Bitsy Jam)",""
"CE0400BD","03/07/2017","Unnecessary Void","gdcvdqpl","https://gdcvdqpl.itch.io/unnecessary-void","Daydream (Bitsy Jam)",""
"AB7CF4F7","03/07/2017","Magenta","Benal","https://benal.itch.io/magenta","Daydream (Bitsy Jam)",""
"BD594B59","04/07/2017","Recurrence","xandotoaster","https://xandotoaster.itch.io/recurrence","Daydream (Bitsy Jam)",""
"9CFD4425","05/07/2017","Got Me","Yuwrenn","https://yuwrenn.itch.io/got-me","Daydream (Bitsy Jam)",""
"554EF78C","05/07/2017","What Happened to Augusta?","PhantomDreamer","https://phantomdreamer.itch.io/what-happened-to-augusta","Daydream (Bitsy Jam)",""
"6E835B7D","06/07/2017","R.E.M. -scape","Night Driver","https://night-driver.itch.io/rem-scape","",""
"64C6E134","06/07/2017","Levitation in Bitsy","noiseart","https://noiseart.itch.io/levitation-in-bitsy","Daydream (Bitsy Jam)","music"
"0C45D33C","07/07/2017","Who are you?","DGMKPixy","https://dgmkpixy.itch.io/who-are-you","Daydream (Bitsy Jam)",""
"836F52CC","07/07/2017","Go inside... In your mind","ArtSvetlakov","https://artsvetlakov.itch.io/go-inside-in-your-mind","Daydream (Bitsy Jam)",""
"40BE92EE","07/07/2017","Awaken","cubehero","https://cubehero.itch.io/awaken","Daydream (Bitsy Jam)",""
"037F6F75","07/07/2017","you close your eyes.","ultrastoic","https://ultrastoic.itch.io/you-close-your-eyes","Daydream (Bitsy Jam)",""
"808EA54B","07/07/2017","I wonder...","Sean S. LeBlanc","https://seansleblanc.itch.io/i-wonder","Daydream (Bitsy Jam)",""
"9DFA6AC5","07/07/2017","The Daydreamer & the Old Tree","Clement Panchout","https://clement-panchout.itch.io/the-daydreamer-and-the-old-tree","Daydream (Bitsy Jam)",""
"93CFF973","07/07/2017","The Curious Islands","Unsteady Butterfly","https://itch.io/jam/daydream/rate/156544","Daydream (Bitsy Jam)","no longer available"
"142E5860","08/07/2017","Two Tamarind Seeds","Illud","https://illud.itch.io/two-tamarind-seeds","Daydream (Bitsy Jam)",""
"C0A16D33","08/07/2017","W.I.P","RhythmLynx","https://rhythmlynx.itch.io/wip","Daydream (Bitsy Jam)",""
"712B9060","08/07/2017","A Cold Winter Night","Brastin3","https://brastin3.itch.io/a-cold-winter-night","Daydream (Bitsy Jam)",""
"609BCF2B","09/07/2017","Mr. Dreamer","ReZStudios","https://rez-studios.itch.io/mr-dreamer","Daydream (Bitsy Jam)",""
"163DF269","09/07/2017","this is where you belong","Ian Martin","https://ianmart1n.itch.io/this-is-where-you-belong","Daydream (Bitsy Jam)",""
"64A4B3EB","09/07/2017","Morning","Spaghatto","https://spaghatto.itch.io/morning","Daydream (Bitsy Jam)",""
"8E4187FD","09/07/2017","Greener On The Other Side","AshGary","https://ashgary.itch.io/greener-on-the-other-side","Daydream (Bitsy Jam)",""
"127E4635","09/07/2017","Ladies and gentlemen we are floating in space","Giada Zavarise","https://bricabrac.itch.io/ladies-and-gentlemen-were-floating-in-space","Daydream (Bitsy Jam)",""
"49404BB4","10/07/2017","gallery","timconceivable","https://timconceivable.itch.io/gallery","Daydream (Bitsy Jam)",""
"7BC17476","10/07/2017","Geodon","Zeego","https://zeego.itch.io/geodon","Daydream (Bitsy Jam)",""
"E45F178D","10/07/2017","Fragmentum","nyankoe","https://nyankoe.itch.io/fragmentum","Daydream (Bitsy Jam)",""
"B0E2232A","10/07/2017","Routine","mapedorr","https://mapedorr.itch.io/routine","Daydream (Bitsy Jam)",""
"CDFC00FE","11/07/2017","Testing Bitsy Jam","kagisapa","https://kagisapa.itch.io/testing-bitsy-jam","",""
"F46EF892","11/07/2017","Able...","TheHashSlingingSlasher","https://thehashslingingslasher.itch.io/able","",""
"B989F8F0","11/07/2017","adventures of a God","Brando_","https://brando-676445.itch.io/adventures-of-a-god","",""
"474DB93C","11/07/2017","Steven Universe Mario Cooke Kat","CaptainCryptic","https://captaincryptic.itch.io/steven-universe-mario-cooke-kat","",""
"494B8F5E","11/07/2017","Don't Leave Me.","Notanthronee","https://notanthronee.itch.io/dont-leave-me","",""
"3ED2BF3C","11/07/2017","The Looming Shadow of self Conciousness","HermitLioness730","https://hermitlioness730.itch.io/the-looming-shadow-of-self-consciousness","",""
"6E99D1E1","11/07/2017","Tree Climbing","EvieEve","https://evieeve.itch.io/climbingtrees-","",""
"BB47AA36","11/07/2017","The Adventures of Bonehead's Cat","KurtoGaNg","https://kurtogang.itch.io/the-adventures-of-boneheads-cat","",""
"A9C69D6B","11/07/2017","jalaris game","CGALBO1","https://cgalbo1.itch.io/jalaris-game-","",""
"0D1E0D0E","11/07/2017","dont touch the orange","alithomas","https://alithomas.itch.io/dont-touch-the-orange13","",""
"9BBC813B","11/07/2017","SabdyBoi","Luke Mayo","https://itch.io/jam/cha-depaul/rate/157678","","no longer available"
"4AB34220","12/07/2017","Rainy Day","Jackson Allen","https://jackson-allen.itch.io/rainy-day","",""
"BB40A31A","15/07/2017","Pups n' Stuff","ManOoPixels","https://manofpixels.itch.io/pups-n-stuff","",""
"7BDAEE5B","18/07/2017","cook an egg","reshmuh","https://reshmush.itch.io/cook-an-egg","",""
"178F1FDB","20/07/2017","u, r, a, b","goop","https://goop.itch.io/u-r-a-b","",""
"C005014D","23/07/2017","Dreams","ashlow","https://ashlow.itch.io/dreams","",""
"EF58D7A1","24/07/2017","Wandered Off","Nash High","https://nashhigh.itch.io/wandered-off","",""
"62A4B33D","25/07/2017","lost","pixel games","https://pixel-games.itch.io/lost","","part 1"
"4935F0E3","25/07/2017","lost","pixel games","https://pixel-games.itch.io/lost","","part 2"
"B35A1CEB","26/07/2017","The Dream You Kept Having After Jerry Left","Moss.","https://mossymind.itch.io/afterjerryleft","",""
"50FC3105","29/07/2017","Moth: A Dating Sim","DrowniAce","https://drowniace.itch.io/moth-a-dating-sim","Moth (Bitsy Jam)",""
"EF26697E","29/07/2017","-A MOTH STORY-","Sean S. LeBlanc","https://seansleblanc.itch.io/-a-moth-story-","Moth (Bitsy Jam)",""
"F52B510F","29/07/2017","le pi dop te ra","Becklespinax","https://becklespinax.itch.io/le-pi-dop-te-ra","Moth (Bitsy Jam)",""
"D2A4D690","30/07/2017","Cryptid Hunt feat. Mothman","Awesomonster","https://awesomonster.itch.io/cryptid-hunt-feat-mothman","Moth (Bitsy Jam)",""
"9074C1CD","30/07/2017","A Moth Argent","Sarah Gould","https://sarahgould.itch.io/moth-argent","Moth (Bitsy Jam)",""
"61D4DF26","30/07/2017","| THIRD CRYPT |","jctwood","https://jctwood.itch.io/thirdcrypt","Moth (Bitsy Jam)",""
"B3FB5D36","31/07/2017","&amp;","Ludonaut","https://ludonaut.itch.io/ampersand","",""
"AD2FAB40","31/07/2017","Energy Outage","ouroborose","https://ouroborose.itch.io/energy-outage","",""
"F72F802A","31/07/2017","The Colored Moth","Ahmed Khalifa (Amidos)","https://amidos2006.itch.io/the-colored-moth","Moth (Bitsy Jam)",""
"8F7A6FB5","31/07/2017","MOTH: we were cursed","Radiosoap","https://radiosoap.itch.io/moth-we-were-cursed","Moth (Bitsy Jam)",""
"EC3E8FC9","31/07/2017","M.O.T.H","hotelbones","https://hotelbones.itch.io/m-o-t-h","Moth (Bitsy Jam)",""
"C8229D32","31/07/2017","Dr. Monty's Traveling Caravan of Moth-Based Oddities!","ManofPixels","https://manofpixels.itch.io/dr-montys","Moth (Bitsy Jam)",""
"03550A6C","31/07/2017","Moth Senses","Mnemogenic","https://mnemogenic.itch.io/moth-senses","Moth (Bitsy Jam)",""
"9B84ED24","01/08/2017","Everybody Loves Mothman","LandOfLincoln","https://landoflincoln.itch.io/everybody-loves-mothman","Moth (Bitsy Jam)",""
"9FA5C929","01/08/2017","The Moth Oracle's Poem","mutantcassidy","https://mutantcassidy.itch.io/the-moth-oracles-poem","Moth (Bitsy Jam)",""
"690C8649","01/08/2017","Sweater Adventure","Ollie M","https://ollietherobot.itch.io/sweater-adventure","Moth (Bitsy Jam)",""
"0B2F5C7E","01/08/2017","initiation","SOULSKATER","https://soulskater.itch.io/intiation","Moth (Bitsy Jam)",""
"6227C33B","01/08/2017","Day in the Life","Night Driver","https://night-driver.itch.io/day-in-the-life","Moth (Bitsy Jam)",""
"52629E0F","01/08/2017","A Moth Batters Against Glass","Sam Keeper","https://samkeeper.itch.io/moth","Moth (Bitsy Jam)",""
"926A622E","01/08/2017","Nothing","Radiosoap","https://radiosoap.itch.io/nothing","",""
"00E45DC5","02/08/2017","Hark! You Are A Dragon","Awesomonster","https://awesomonster.itch.io/hark-you-are-a-dragon","",""
"DD5BE55B","05/08/2017","farfar","krisekrise","https://krisekrise.itch.io/farfar","",""
"51DD0198","05/08/2017","I, Medusa","magicalbitch","https://magicalbitch.itch.io/i-medusa","",""
"FB927A6F","06/08/2017","Gasu, The Hugging Dragon","Nenekiri","https://nenekiri.itch.io/gasu-the-hugging-dragon","",""
"273E8BFB","08/08/2017","bitsy stair quest demo v1.1","wilcoweb","https://wilcoweb.neocities.org/bitsy_sq.html","",""
"8EF8319B","10/08/2017","You Have A Destiny: A Game About Gods and Prophecy","Awesomonster","https://awesomonster.itch.io/you-have-a-destiny","",""
"EA4B7A32","11/08/2017","Please Love Me","Devin Raposo","https://devin-raposo.itch.io/please-love-me","",""
"BEBD5115","13/08/2017","TREADMEEL: a treadmill simulator","Radiosoap","https://radiosoap.itch.io/treedmeel-a-treadmill-simulator","",""
"D2284E73","14/08/2017","Noir","ruthvik","https://ruthvik.itch.io/noir","",""
"A68B236D","17/08/2017","You Found A Mineshaft","Saranomy","https://saranomy.itch.io/yfam","",""
"A223EC01","18/08/2017","depreston","Vaida","https://vaidap.itch.io/depreston","",""
